model,temperature_dir,variant,baseline_variant,n_paired_questions,baseline_n_scored,variant_n_scored,baseline_n_missing,variant_n_missing,baseline_coverage,variant_coverage,coverage_delta,brier_delta,brier_delta_ci_low,brier_delta_ci_high,brier_p_permutation,brier_q_bh,brier_effect_dz,log_loss_delta,log_loss_delta_ci_low,log_loss_delta_ci_high,log_loss_p_permutation,log_loss_q_bh,log_loss_effect_dz,accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,accuracy_p_permutation,accuracy_q_bh,accuracy_effect_dz
GPT-OSS-120B,temperature_025,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.022837784810126584,0.013990876582278482,0.03171602215189873,9.999000099990002e-05,0.0004234870630584001,0.1271104219987266,0.04838692822346997,0.028235774221020613,0.06833593831379667,9.999000099990002e-05,0.0005999400059994001,0.11914032351695292,-0.010759493670886076,-0.02341772151898734,0.0018987341772151898,0.11758824117588242,0.2095790420957904,-0.0421648197753605
GPT-OSS-120B,temperature_025,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.013670189873417718,0.00568270569620253,0.021805357594936705,0.0007999200079992001,0.002450818747912443,0.08298151654124561,0.031878139160749885,0.013247115047284784,0.049820665516472885,0.00039996000399960006,0.0018578787282562067,0.08577091743274251,-0.002531645569620253,-0.014556962025316455,0.010126582278481013,0.7566243375662434,0.8786605210446697,-0.010162565811600908
GPT-OSS-120B,temperature_025,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.0002912025316455703,-0.00740073259493671,0.006991901898734175,0.9334066593340666,0.9465532320007436,-0.00203373338500277,0.0008200122978924942,-0.01526000210894122,0.01712012618974668,0.9225077492250775,0.946905309469053,0.0025192047243843795,-0.0037974683544303796,-0.015822784810126583,0.008860759493670886,0.6033396660333966,0.7362789144814331,-0.015402852484817544
GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.004503354430379747,-0.003945256329113925,0.0128933243670886,0.29917008299170084,0.38811254009734164,0.026246724439321807,0.01020493326389506,-0.009074288017232144,0.02929294589662901,0.2862713728627137,0.45214608973885223,0.026316706466431104,0.0012658227848101266,-0.01140822784810125,0.013924050632911392,0.9291070892910709,0.9837604474846633,0.004795927716190492
GPT-OSS-120B,temperature_025,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011517025316455695,0.0034272705696202555,0.019740261075949367,0.0045995400459954,0.011038896110388961,0.07038478669901159,0.027502426466877554,0.009201204367262667,0.04543298445229787,0.0027997200279972004,0.008959104089591042,0.07449472485935824,-0.00569620253164557,-0.018354430379746836,0.006962025316455696,0.43545645435456454,0.5799053122210716,-0.021887122223020434
GPT-OSS-120B,temperature_025,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.0008438607594936704,-0.00819384493670886,0.006091178797468353,0.8174182581741826,0.8655016851256051,-0.005707776952575526,-0.0006947076352717262,-0.017704219524441466,0.01598196073961729,0.9359064093590641,0.946905309469053,-0.0020369904346810045,-0.006962025316455696,-0.0189873417721519,0.005079113924050403,0.31286871312868714,0.4505309469053095,-0.02810038714259136
GPT-OSS-120B,temperature_075,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.008930379746835441,0.001117107594936706,0.016848609177215187,0.026597340265973404,0.04910278202948936,0.05650897529258123,0.0208493389879727,0.0034391986226537216,0.03890521873337103,0.020497950204979503,0.050028895415543194,0.058080588536206,-0.008860759493670886,-0.022151898734177215,0.0037974683544303796,0.20477952204779523,0.32404671620750014,-0.03390000001099754
GPT-OSS-120B,temperature_075,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.012707974683544303,0.004575931962025313,0.02088554905063291,0.0024997500249975004,0.006544800065448,0.07761798339230025,0.029089451180716114,0.010813276851883817,0.04743165966083816,0.0023997600239976003,0.008036405661759406,0.0784549513961305,0.0018987341772151898,-0.00949367088607595,0.013291139240506329,0.8466153384661533,0.9306306010620312,0.007909483592849476
GPT-OSS-120B,temperature_075,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.025226962025316452,0.016549199367088603,0.034303457278481005,9.999000099990002e-05,0.0004234870630584001,0.14018651832215062,0.05599741613781099,0.035705181893412735,0.07617590444012061,9.999000099990002e-05,0.0005999400059994001,0.1372800312975934,-0.013291139240506329,-0.026582278481012658,0.0,0.055194480551944806,0.11862694327582167,-0.050192461719264406
GPT-OSS-120B,temperature_075,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.012391202531645565,0.0044447452531645535,0.020324645569620242,0.0023997600239976003,0.006399360063993601,0.07644095719139703,0.02964483605200662,0.011208239273708745,0.048064359961567715,0.0017998200179982,0.006321319087603434,0.08161987251105189,-0.004430379746835443,-0.01708860759493671,0.008227848101265823,0.5585441455854414,0.687438948412851,-0.017183099871997478
GPT-OSS-120B,temperature_075,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0012054430379746814,-0.0062350094936708894,0.00855475632911392,0.7392260773922608,0.8125843904159202,0.008115205616061652,0.0038954575504719685,-0.01263974635267453,0.020370512764613807,0.644035596440356,0.7926591956188997,0.011537411860356239,-0.012658227848101266,-0.02531645569620253,-0.0006329113924050633,0.061693830616938304,0.12691302298341595,-0.0503633268549393
GPT-OSS-120B,temperature_075,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.012250506329113923,0.0036659810126582265,0.02074099367088607,0.003999600039996,0.00993004147861076,0.07106314534585818,0.02951533176402709,0.010001865405180107,0.04902638216619115,0.0018998100189981002,0.00651363435085063,0.0755779537081628,-0.007594936708860759,-0.020253164556962026,0.005063291139240506,0.28117188281171884,0.41948794811240525,-0.029325746485617313
GPT-OSS-120B,temperature_075,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01835784810126582,0.009799878164556962,0.0269819746835443,9.999000099990002e-05,0.0004234870630584001,0.10857894319682265,0.04173668847795581,0.02335972397448235,0.06022781444997314,9.999000099990002e-05,0.0005999400059994001,0.10978620873444833,-0.005063291139240506,-0.01708860759493671,0.006962025316455696,0.4694530546945305,0.6027007918677159,-0.02053903292808028
GPT-OSS-120B,temperature_075,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.002061139240506329,-0.005615549050632912,0.009704121835443032,0.6026397360263973,0.6998396934500097,0.013122722739920765,0.005583115528873846,-0.011865069504247506,0.02385143548092734,0.5386461353864613,0.6864163141208003,0.015438181673561606,0.0006329113924050633,-0.01139240506329114,0.012658227848101266,1.0,1.0,0.0026079182984006127
GPT-OSS-120B,temperature_125,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0012149367088607574,-0.00670284018987342,0.009192106012658225,0.773022697730227,0.8245575442455755,0.007485071376652251,0.003248321726479882,-0.014469152879978872,0.02147811540249205,0.7317268273172682,0.875619755097661,0.008773095459608679,0.002531645569620253,-0.010759493670886076,0.015822784810126583,0.7798220177982201,0.8842076422279032,0.009340796963725742
GPT-OSS-120B,temperature_125,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.003207025316455695,-0.005164250000000004,0.011306026898734178,0.4570542945705429,0.5484651534846515,0.018778757131022325,0.006713118051723364,-0.012466925384755176,0.02565646552062006,0.48435156484351566,0.6458020864580208,0.017316703330352113,0.006329113924050633,-0.006329113924050633,0.0189873417721519,0.38536146385361464,0.520770352871255,0.024207469436644764
GPT-OSS-120B,temperature_125,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01693860759493671,0.008360816455696198,0.025458525316455684,0.00029997000299970003,0.001053553181267239,0.0972583903954441,0.03709385928200698,0.017699485316158958,0.05606347843957966,0.0004999500049995,0.002181600021816,0.09293532987477135,0.007594936708860759,-0.006329113924050633,0.021518987341772152,0.33436656334366566,0.4585598582998843,0.026684858772537373
GPT-OSS-120B,temperature_125,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.008928544303797466,0.0001590443037974659,0.017750829113924046,0.04279572042795721,0.0725009851955981,0.05043092438178276,0.02058467845670108,0.0011762528660871632,0.04029690545660382,0.04079592040795921,0.0839230362678018,0.05154822522011316,0.012658227848101266,-0.0006329113924050633,0.025949367088607594,0.08099190080991901,0.15760586103551807,0.046752992161407256
GPT-OSS-120B,temperature_125,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.005828164556962026,-0.013717982594936708,0.0019865379746835414,0.14558544145585442,0.20553238793767684,-0.03658931458523545,-0.011587660388523153,-0.02961977324761368,0.00666106404220416,0.21107889211078892,0.3520199704167514,-0.03183085546040868,0.008860759493670886,-0.005063291139240506,0.02278481012658228,0.2400759924007599,0.367775988358611,0.03163504931391041
GPT-OSS-120B,temperature_125,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011472531645569618,0.003063556962025314,0.019941884493670882,0.006999300069993001,0.01574842515748425,0.06650312933659937,0.026815936463132104,0.0074045456896565595,0.04627579354815424,0.0066993300669933005,0.018915755483275204,0.0680325520723817,0.006962025316455696,-0.00569620253164557,0.019620253164556962,0.33096690330966905,0.4585598582998843,0.02700787711296062
GPT-OSS-120B,temperature_125,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.007914493670886074,-0.0006730822784810136,0.01641317563291139,0.07069293070692931,0.11437957327862719,0.04604019160350475,0.019258764909595792,0.00014655040730367176,0.03883105567273834,0.0522947705229477,0.1045895410458954,0.049333531110918934,0.008227848101265823,-0.005063291139240506,0.021518987341772152,0.2635736426357364,0.39952215304785305,0.030502151498523485
GPT-OSS-120B,temperature_125,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.006734113924050632,-0.014923786392405063,0.0013579889240506338,0.10518948105189481,0.15778422157784222,-0.040712318155242816,-0.01499174992995595,-0.03360610822541755,0.003771513975024989,0.11998800119988001,0.215978402159784,-0.039568365433317966,0.02088607594936709,0.008227848101265823,0.03354430379746835,0.0011998800119988001,0.007512292249035966,0.08205163956903788
GPT-OSS-120B,temperature_175,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01053618670886076,0.001960538765822784,0.019263963212025313,0.0184981501849815,0.035996400359964,0.05930140206975403,0.14642930303758753,0.05101469342646557,0.2629014580827791,0.0024997500249975004,0.00818100008181,0.06852049838684626,-0.017721518987341773,-0.03291139240506329,-0.0031645569620253164,0.0235976402359764,0.05858724472380348,-0.05878415943474619
GPT-OSS-120B,temperature_175,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0044976424050632915,-0.004214668117088607,0.01324400316455696,0.3213678632136786,0.41055009543293464,0.02499163899457819,0.0522796777312546,-0.0005519972527011869,0.12307584209262193,0.10068993100689931,0.18830324759731817,0.040691396822587024,-0.0012658227848101266,-0.014556962025316455,0.012025316455696202,0.9284071592840716,0.9837604474846633,-0.004630497231955924
GPT-OSS-120B,temperature_175,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.014391693037974683,0.005638126186708863,0.023278156645569616,0.0013998600139986002,0.003952545921878401,0.08112761853435049,0.050511902314048694,0.013937009110126729,0.10369994975827086,0.0012998700129987,0.00505895356410305,0.05310935444129721,-0.019620253164556962,-0.03417721518987342,-0.00569620253164557,0.009499050094990502,0.03248047288294426,-0.06675773385150265
GPT-OSS-120B,temperature_175,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.010524600632911389,0.002211715949367088,0.018884696012658218,0.015598440155984402,0.031196880311968805,0.06206662251640103,0.02529499374975197,0.006568756557406925,0.04393010237230148,0.008399160083991601,0.023259212540284437,0.06610443964479917,-0.0018987341772151898,-0.015838607594936695,0.012658227848101266,0.8604139586041396,0.9386334093863341,-0.006542424395161808
GPT-OSS-120B,temperature_175,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.005646513291139239,-0.0030613698575949365,0.014336525316455689,0.20677932206779323,0.28358307026440216,0.031924351142859346,0.03445930948907466,-0.002690271015900982,0.08966934136599071,0.10898910108989102,0.19866367793600387,0.036168201947560215,-0.017721518987341773,-0.032278481012658226,-0.0031645569620253164,0.0173982601739826,0.04727074462365084,-0.06140770437002692
GPT-OSS-120B,temperature_175,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.00822928797468354,-0.0007542298259493685,0.01730793868670886,0.07849215078492151,0.12285727948944238,0.04449176190196388,0.042772834326624654,0.0047477706997113645,0.09731779903512264,0.022097790220977902,0.051323899868077706,0.04440591495721288,-0.0031645569620253164,-0.01708860759493671,0.010759493670886076,0.7191280871912809,0.8419060532971093,-0.01124802996413751
GPT-OSS-120B,temperature_175,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.015640553797468353,0.006753325949367087,0.024821286392405058,0.0010998900109989002,0.0032996700329967006,0.08568720481578002,0.03635017740562623,0.01614234964006379,0.056730742858364554,0.0004999500049995,0.002181600021816,0.08849863358815754,-0.006329113924050633,-0.02088607594936709,0.008227848101265823,0.46055394460553944,0.5974753875963755,-0.02081860878148843
GPT-OSS-120B,temperature_175,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0013255537974683547,-0.007191856408227849,0.009957914952531647,0.7569243075692431,0.819527069849406,0.0075890512120712975,0.0034952200753095865,-0.01659723506867752,0.023085418886709987,0.7238276172382762,0.875619755097661,0.008861898691986867,-0.00949367088607595,-0.024050632911392405,0.005063291139240506,0.22977702229777022,0.3557837764610636,-0.032247108976643686
GPT-OSS-120B,temperature_200,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01456058164556962,0.003226931297468355,0.025850335775316452,0.0136986301369863,0.02778313717923982,0.0627553050442058,0.08661606595288143,-0.055067658768319684,0.2288573798144547,0.23517648235176483,0.3805102635803836,0.029844851157086856,-0.03481012658227848,-0.053164556962025315,-0.01708860759493671,0.00029997000299970003,0.0026997300269973002,-0.09388178025936932
GPT-OSS-120B,temperature_200,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011136834810126586,-7.723892405063086e-05,0.02283167262658228,0.056894310568943104,0.09526489211543962,0.04811065515108349,0.20471657610441468,0.03994788669390254,0.3889405292350049,0.0211978802119788,0.05074902345830991,0.0573385840954946,-0.00949367088607595,-0.02531645569620253,0.006329113924050633,0.28257174282571745,0.41948794811240525,-0.028693333362359456
GPT-OSS-120B,temperature_200,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.016758098101265825,0.004949719746835443,0.02845648268987341,0.0038996100389961006,0.009851646414305937,0.07054984025828198,0.07304951009003066,-0.060848823725635305,0.20943326684672067,0.31866813318668136,0.4898541724774891,0.026429332418791474,-0.014556962025316455,-0.03164556962025317,0.0018987341772151898,0.10128987101289871,0.18699668494688992,-0.04303527407416678
GPT-OSS-120B,temperature_200,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.010412736075949369,-0.0008450019936708859,0.02155887851265823,0.0674932506749325,0.11171296663437104,0.04617527065637092,0.04207232148065451,-0.08741261868357042,0.174731685395265,0.5242475752424758,0.6801049624767254,0.016182338066122095,-0.0018987341772151898,-0.0189873417721519,0.015189873417721518,0.884011598840116,0.9571253400975692,-0.005517483513188579
GPT-OSS-120B,temperature_200,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.009366702531645569,-0.001712215189873416,0.02073492231012658,0.09859014098590141,0.1494418979154716,0.04146983507282244,0.11786669244640235,-0.03543833546393547,0.2779199394219776,0.12658734126587343,0.22423123541304404,0.03758224519828581,-0.008860759493670886,-0.02531645569620253,0.007594936708860759,0.3193680631936806,0.4508725598028432,-0.02670190562446785
GPT-OSS-120B,temperature_200,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.0008193101265822802,-0.012132378955696205,0.01046107753164556,0.8859114088591141,0.9244082785966008,-0.0035634249415537177,-0.008160481077453142,-0.1300647814251786,0.11478410911639951,0.8799120087991201,0.946905309469053,-0.003279565028222193,0.013291139240506329,-0.0037974683544303796,0.030379746835443037,0.14488551144885511,0.24837516248375163,0.038650651867725934
GPT-OSS-120B,temperature_200,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.008368391772151899,-0.0031225214082278466,0.020145622120253164,0.1543845615438456,0.2158386103137259,0.035887823852609184,0.053726825421584995,-0.08045909459797916,0.19389068770589427,0.42195780421957807,0.6029044154408089,0.019401553213889536,0.0,-0.017721518987341773,0.017721518987341773,1.0,1.0,0.0
GPT-OSS-120B,temperature_200,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0017702981012658232,-0.009564370079113923,0.013189826613924049,0.7637236276372362,0.8207179282071793,0.007740683912951562,0.14123895480309426,-0.025608204547511223,0.30982722227390913,0.10038996100389962,0.18830324759731817,0.04198712917602593,0.0031645569620253164,-0.013291139240506329,0.020253164556962026,0.7661233876612339,0.8802548316596912,0.00929602351439514
Qwen2.5-7b-instruct,temperature_000,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01024966772151899,0.001136128560126583,0.019288678797468355,0.025097490250974904,0.04749654904639406,0.05580399961961074,0.02037032010842759,-0.0023027322697322127,0.04359928281923607,0.0760923907609239,0.15010005848730193,0.044079259113034897,-0.022151898734177215,-0.03670886075949367,-0.008227848101265823,0.0037996200379962005,0.01871812818718128,-0.07713568969293194
Qwen2.5-7b-instruct,temperature_000,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.010747974683544303,0.0014240268987341796,0.020054639240506326,0.025397460253974602,0.04749654904639406,0.05757229101854518,0.023599139486097,0.0008384936065510853,0.046832374012566284,0.0443955604439556,0.09004170005534658,0.05039284102131822,-0.021518987341772152,-0.035443037974683546,-0.007579113924050863,0.0047995200479952005,0.01974659676889454,-0.07463333947428956
Qwen2.5-7b-instruct,temperature_000,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.010462721518987344,0.0018480443037974714,0.018904837025316448,0.016198380161983803,0.03195296908665298,0.06053880556461359,0.023549978325359405,0.0018303173024086135,0.045267329139843056,0.030296970302969704,0.06711944190196364,0.05431178209769294,-0.019620253164556962,-0.03291139240506329,-0.006329113924050633,0.004299570042995701,0.019056917837628,-0.07289509022309196
Qwen2.5-7b-instruct,temperature_000,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011975427215189871,0.003410924841772151,0.020542481408227842,0.006099390060993901,0.014166325302953576,0.06958414658313694,0.02715002873947581,0.005758972671103136,0.0486172587088255,0.010798920107989201,0.027768651706257946,0.06256057725545847,-0.0189873417721519,-0.032278481012658226,-0.00569620253164557,0.006999300069993001,0.024934091956657998,-0.07084195532630323
Qwen2.5-7b-instruct,temperature_000,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.03196056962025316,0.02017741060126582,0.04405227412974682,9.999000099990002e-05,0.0004234870630584001,0.13191406571755276,0.07779234937606441,0.04824238961495233,0.10773508633458063,9.999000099990002e-05,0.0005999400059994001,0.12787432836956503,-0.049367088607594936,-0.06772151898734177,-0.03164556962025317,9.999000099990002e-05,0.0015998400159984002,-0.13221169105770886
Qwen2.5-7b-instruct,temperature_000,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01314386075949367,0.00446992405063291,0.02228431764240506,0.004399560043995601,0.010737909259921467,0.07186060768025315,0.033167603590949515,0.00979206852938241,0.05601078866679624,0.0038996100389961006,0.011698830116988301,0.07145792272818831,-0.017721518987341773,-0.0310126582278481,-0.0037974683544303796,0.013298670132986702,0.039896010398960104,-0.0638847329378115
Qwen2.5-7b-instruct,temperature_000,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011303718354430382,0.002803142009493674,0.01979770846518988,0.0096990300969903,0.020241454115458017,0.06599813717268482,0.024683276064173525,0.004106418349732951,0.04620578337837633,0.0245975402459754,0.05622294913365806,0.05704236423666546,-0.02278481012658228,-0.036075949367088606,-0.00949367088607595,0.0010998900109989002,0.007199280071992802,-0.08436230144741855
Qwen2.5-7b-instruct,temperature_000,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.010027784810126582,0.002247305379746835,0.01765873734177215,0.0098990100989901,0.020363677917922495,0.06530901325860493,0.028051814582817892,0.008778785221382224,0.04780937634166598,0.0065993400659934,0.018915755483275204,0.07031980919444093,-0.01139240506329114,-0.02278481012658228,0.0,0.05829417058294171,0.12207474904683444,-0.049453563873846564
Qwen2.5-7b-instruct,temperature_025,variant1_predicted_event,variant0_neutral_baseline,1579,1580,1579,0,1,1.0,0.9993670886075949,-0.0006329113924050667,0.008118793540215328,-0.000717719284357185,0.017210795994300192,0.07429257074292571,0.11886811318868114,0.04498947985448378,0.011284834684129188,-0.011222075238159046,0.03372546341623917,0.3231676832316768,0.4898541724774891,0.024733226464649923,-0.02026599113362888,-0.034198860037998734,-0.006333122229259025,0.0058994100589941,0.022355659170925014,-0.07078408667885228
