original_id,perturbation_id,perturbation_type,baseline_answer,perturbed_answer,baseline_confidence,perturbed_confidence,baseline_p_yes,perturbed_p_yes,delta_p_yes,abs_delta_p_yes,answer_flipped
21167,2116704,criterion_swap,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
28237,2823701,evidence_masking,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
28237,2823702,contradiction,no,no,0.66,0.82,0.33999999999999997,0.18000000000000005,-0.15999999999999992,0.15999999999999992,0
28237,2823703,actor_date_swap,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
28237,2823704,criterion_swap,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
31068,3106801,evidence_masking,no,no,0.63,0.2,0.37,0.8,0.43000000000000005,0.43000000000000005,0
31068,3106802,contradiction,no,no,0.63,0.8,0.37,0.19999999999999996,-0.17000000000000004,0.17000000000000004,0
31068,3106803,actor_date_swap,no,yes,0.63,0.55,0.37,0.55,0.18000000000000005,0.18000000000000005,1
31068,3106804,criterion_swap,no,no,0.63,0.75,0.37,0.25,-0.12,0.12,0
31258,3125801,evidence_masking,no,no,0.55,0.85,0.44999999999999996,0.15000000000000002,-0.29999999999999993,0.29999999999999993,0
31258,3125802,contradiction,no,no,0.55,0.65,0.44999999999999996,0.35,-0.09999999999999998,0.09999999999999998,0
31258,3125803,actor_date_swap,no,no,0.55,0.55,0.44999999999999996,0.44999999999999996,0.0,0.0,0
31258,3125804,criterion_swap,no,no,0.55,0.65,0.44999999999999996,0.35,-0.09999999999999998,0.09999999999999998,0
31273,3127301,evidence_masking,yes,yes,0.9,0.92,0.9,0.92,0.020000000000000018,0.020000000000000018,0
31273,3127302,contradiction,yes,yes,0.9,0.96,0.9,0.96,0.05999999999999994,0.05999999999999994,0
31273,3127303,actor_date_swap,yes,yes,0.9,0.66,0.9,0.66,-0.24,0.24,0
31273,3127304,criterion_swap,yes,yes,0.9,0.9,0.9,0.9,0.0,0.0,0
31288,3128801,evidence_masking,yes,yes,0.9,0.93,0.9,0.93,0.030000000000000027,0.030000000000000027,0
31288,3128802,contradiction,yes,yes,0.9,0.95,0.9,0.95,0.04999999999999993,0.04999999999999993,0
31288,3128803,actor_date_swap,yes,yes,0.9,0.97,0.9,0.97,0.06999999999999995,0.06999999999999995,0
31288,3128804,criterion_swap,yes,yes,0.9,0.9,0.9,0.9,0.0,0.0,0
31303,3130301,evidence_masking,no,yes,0.6,0.86,0.4,0.86,0.45999999999999996,0.45999999999999996,1
31303,3130302,contradiction,no,yes,0.6,0.58,0.4,0.58,0.17999999999999994,0.17999999999999994,1
31303,3130303,actor_date_swap,no,yes,0.6,0.66,0.4,0.66,0.26,0.26,1
31303,3130304,criterion_swap,no,yes,0.6,0.55,0.4,0.55,0.15000000000000002,0.15000000000000002,1
31884,3188401,evidence_masking,no,no,0.95,0.96,0.050000000000000044,0.040000000000000036,-0.010000000000000009,0.010000000000000009,0
31884,3188402,contradiction,no,no,0.95,0.99,0.050000000000000044,0.010000000000000009,-0.040000000000000036,0.040000000000000036,0
31884,3188403,actor_date_swap,no,no,0.95,0.71,0.050000000000000044,0.29000000000000004,0.24,0.24,0
31884,3188404,criterion_swap,no,no,0.95,0.98,0.050000000000000044,0.020000000000000018,-0.030000000000000027,0.030000000000000027,0
34272,3427201,evidence_masking,no,no,0.75,0.85,0.25,0.15000000000000002,-0.09999999999999998,0.09999999999999998,0
34272,3427202,contradiction,no,no,0.75,0.95,0.25,0.050000000000000044,-0.19999999999999996,0.19999999999999996,0
34272,3427203,actor_date_swap,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
34272,3427204,criterion_swap,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
34381,3438101,evidence_masking,no,no,0.3,0.85,0.7,0.15000000000000002,-0.5499999999999999,0.5499999999999999,0
34381,3438102,contradiction,no,no,0.3,0.8,0.7,0.19999999999999996,-0.5,0.5,0
34381,3438103,actor_date_swap,no,no,0.3,0.75,0.7,0.25,-0.44999999999999996,0.44999999999999996,0
34381,3438104,criterion_swap,no,no,0.3,0.8,0.7,0.19999999999999996,-0.5,0.5,0
34684,3468401,evidence_masking,no,no,0.71,0.85,0.29000000000000004,0.15000000000000002,-0.14,0.14,0
34684,3468402,contradiction,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
34684,3468403,actor_date_swap,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
34684,3468404,criterion_swap,no,no,0.71,0.95,0.29000000000000004,0.050000000000000044,-0.24,0.24,0
34703,3470301,evidence_masking,no,no,0.71,0.86,0.29000000000000004,0.14,-0.15000000000000002,0.15000000000000002,0
34703,3470302,contradiction,no,no,0.71,0.86,0.29000000000000004,0.14,-0.15000000000000002,0.15000000000000002,0
34703,3470303,actor_date_swap,no,no,0.71,0.86,0.29000000000000004,0.14,-0.15000000000000002,0.15000000000000002,0
34703,3470304,criterion_swap,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
34829,3482901,evidence_masking,yes,yes,0.78,0.75,0.78,0.75,-0.030000000000000027,0.030000000000000027,0
34829,3482902,contradiction,yes,yes,0.78,0.8,0.78,0.8,0.020000000000000018,0.020000000000000018,0
34829,3482903,actor_date_swap,yes,yes,0.78,0.6,0.78,0.6,-0.18000000000000005,0.18000000000000005,0
34829,3482904,criterion_swap,yes,yes,0.78,0.75,0.78,0.75,-0.030000000000000027,0.030000000000000027,0
34853,3485301,evidence_masking,no,no,0.82,0.86,0.18000000000000005,0.14,-0.040000000000000036,0.040000000000000036,0
34853,3485302,contradiction,no,no,0.82,0.85,0.18000000000000005,0.15000000000000002,-0.030000000000000027,0.030000000000000027,0
34853,3485303,actor_date_swap,no,no,0.82,0.86,0.18000000000000005,0.14,-0.040000000000000036,0.040000000000000036,0
34853,3485304,criterion_swap,no,no,0.82,0.9,0.18000000000000005,0.09999999999999998,-0.08000000000000007,0.08000000000000007,0
34969,3496901,evidence_masking,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
34969,3496902,contradiction,no,no,0.66,0.9,0.33999999999999997,0.09999999999999998,-0.24,0.24,0
34969,3496903,actor_date_swap,no,no,0.66,0.81,0.33999999999999997,0.18999999999999995,-0.15000000000000002,0.15000000000000002,0
34969,3496904,criterion_swap,no,no,0.66,0.86,0.33999999999999997,0.14,-0.19999999999999996,0.19999999999999996,0
34971,3497101,evidence_masking,no,no,0.22,0.9,0.78,0.09999999999999998,-0.68,0.68,0
34971,3497102,contradiction,no,no,0.22,0.9,0.78,0.09999999999999998,-0.68,0.68,0
34971,3497103,actor_date_swap,no,no,0.22,0.65,0.78,0.35,-0.43000000000000005,0.43000000000000005,0
34971,3497104,criterion_swap,no,no,0.22,0.9,0.78,0.09999999999999998,-0.68,0.68,0
34977,3497701,evidence_masking,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
34977,3497702,contradiction,no,no,0.75,0.86,0.25,0.14,-0.10999999999999999,0.10999999999999999,0
34977,3497703,actor_date_swap,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
34977,3497704,criterion_swap,no,no,0.75,0.86,0.25,0.14,-0.10999999999999999,0.10999999999999999,0
35006,3500601,evidence_masking,no,no,0.66,0.9,0.33999999999999997,0.09999999999999998,-0.24,0.24,0
35006,3500602,contradiction,no,no,0.66,0.9,0.33999999999999997,0.09999999999999998,-0.24,0.24,0
35006,3500603,actor_date_swap,no,no,0.66,0.8,0.33999999999999997,0.19999999999999996,-0.14,0.14,0
35006,3500604,criterion_swap,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
35187,3518701,evidence_masking,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
35187,3518702,contradiction,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
35187,3518703,actor_date_swap,no,no,0.81,0.95,0.18999999999999995,0.050000000000000044,-0.1399999999999999,0.1399999999999999,0
35187,3518704,criterion_swap,no,no,0.81,0.86,0.18999999999999995,0.14,-0.04999999999999993,0.04999999999999993,0
35193,3519301,evidence_masking,no,no,0.75,0.92,0.25,0.07999999999999996,-0.17000000000000004,0.17000000000000004,0
35193,3519302,contradiction,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
35193,3519303,actor_date_swap,no,no,0.75,0.95,0.25,0.050000000000000044,-0.19999999999999996,0.19999999999999996,0
35193,3519304,criterion_swap,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
35202,3520201,evidence_masking,no,no,0.75,0.15,0.25,0.85,0.6,0.6,0
35202,3520202,contradiction,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
35202,3520203,actor_date_swap,no,no,0.75,0.86,0.25,0.14,-0.10999999999999999,0.10999999999999999,0
35202,3520204,criterion_swap,no,no,0.75,0.9,0.25,0.09999999999999998,-0.15000000000000002,0.15000000000000002,0
35458,3545801,evidence_masking,yes,yes,0.66,0.55,0.66,0.55,-0.10999999999999999,0.10999999999999999,0
35458,3545802,contradiction,yes,yes,0.66,0.66,0.66,0.66,0.0,0.0,0
35458,3545803,actor_date_swap,yes,no,0.66,0.65,0.66,0.35,-0.31000000000000005,0.31000000000000005,1
35458,3545804,criterion_swap,yes,no,0.66,0.71,0.66,0.29000000000000004,-0.37,0.37,1
35512,3551201,evidence_masking,yes,no,0.6,0.85,0.6,0.15000000000000002,-0.44999999999999996,0.44999999999999996,1
35512,3551202,contradiction,yes,no,0.6,0.75,0.6,0.25,-0.35,0.35,1
35512,3551203,actor_date_swap,yes,no,0.6,0.78,0.6,0.21999999999999997,-0.38,0.38,1
35512,3551204,criterion_swap,yes,no,0.6,0.15,0.6,0.85,0.25,0.25,1
35685,3568501,evidence_masking,no,no,0.81,0.85,0.18999999999999995,0.15000000000000002,-0.039999999999999925,0.039999999999999925,0
35685,3568502,contradiction,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
35685,3568503,actor_date_swap,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
35685,3568504,criterion_swap,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
35690,3569001,evidence_masking,yes,yes,0.66,0.7,0.66,0.7,0.039999999999999925,0.039999999999999925,0
35690,3569002,contradiction,yes,yes,0.66,0.78,0.66,0.78,0.12,0.12,0
35690,3569003,actor_date_swap,yes,yes,0.66,0.6,0.66,0.6,-0.06000000000000005,0.06000000000000005,0
35690,3569004,criterion_swap,yes,yes,0.66,0.75,0.66,0.75,0.08999999999999997,0.08999999999999997,0
35703,3570301,evidence_masking,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
35703,3570302,contradiction,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
35703,3570303,actor_date_swap,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
35703,3570304,criterion_swap,no,no,0.78,0.95,0.21999999999999997,0.050000000000000044,-0.16999999999999993,0.16999999999999993,0
35724,3572401,evidence_masking,no,no,0.8,0.8,0.19999999999999996,0.19999999999999996,0.0,0.0,0
35724,3572402,contradiction,no,no,0.8,0.9,0.19999999999999996,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0
35724,3572403,actor_date_swap,no,no,0.8,0.95,0.19999999999999996,0.050000000000000044,-0.1499999999999999,0.1499999999999999,0
35724,3572404,criterion_swap,no,no,0.8,0.85,0.19999999999999996,0.15000000000000002,-0.04999999999999993,0.04999999999999993,0
35917,3591701,evidence_masking,no,no,0.35,0.85,0.65,0.15000000000000002,-0.5,0.5,0
35917,3591702,contradiction,no,no,0.35,0.85,0.65,0.15000000000000002,-0.5,0.5,0
35917,3591703,actor_date_swap,no,no,0.35,0.81,0.65,0.18999999999999995,-0.4600000000000001,0.4600000000000001,0
35917,3591704,criterion_swap,no,no,0.35,0.2,0.65,0.8,0.15000000000000002,0.15000000000000002,0
35946,3594601,evidence_masking,yes,yes,0.86,0.85,0.86,0.85,-0.010000000000000009,0.010000000000000009,0
35946,3594602,contradiction,yes,yes,0.86,0.85,0.86,0.85,-0.010000000000000009,0.010000000000000009,0
35946,3594603,actor_date_swap,yes,yes,0.86,0.85,0.86,0.85,-0.010000000000000009,0.010000000000000009,0
35946,3594604,criterion_swap,yes,yes,0.86,0.8,0.86,0.8,-0.05999999999999994,0.05999999999999994,0
36156,3615601,evidence_masking,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
36156,3615602,contradiction,no,no,0.78,0.86,0.21999999999999997,0.14,-0.07999999999999996,0.07999999999999996,0
36156,3615603,actor_date_swap,no,no,0.78,0.75,0.21999999999999997,0.25,0.030000000000000027,0.030000000000000027,0
36156,3615604,criterion_swap,no,no,0.78,0.86,0.21999999999999997,0.14,-0.07999999999999996,0.07999999999999996,0
36167,3616701,evidence_masking,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
36167,3616702,contradiction,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
36167,3616703,actor_date_swap,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
36167,3616704,criterion_swap,no,no,0.78,0.86,0.21999999999999997,0.14,-0.07999999999999996,0.07999999999999996,0
36175,3617501,evidence_masking,yes,yes,0.42,0.85,0.42,0.85,0.43,0.43,0
36175,3617502,contradiction,yes,yes,0.42,0.7,0.42,0.7,0.27999999999999997,0.27999999999999997,0
36175,3617503,actor_date_swap,yes,yes,0.42,0.85,0.42,0.85,0.43,0.43,0
36175,3617504,criterion_swap,yes,yes,0.42,0.8,0.42,0.8,0.38000000000000006,0.38000000000000006,0
36488,3648801,evidence_masking,yes,yes,0.71,0.86,0.71,0.86,0.15000000000000002,0.15000000000000002,0
36488,3648802,contradiction,yes,yes,0.71,0.85,0.71,0.85,0.14,0.14,0
36488,3648803,actor_date_swap,yes,yes,0.71,0.88,0.71,0.88,0.17000000000000004,0.17000000000000004,0
36488,3648804,criterion_swap,yes,yes,0.71,0.85,0.71,0.85,0.14,0.14,0
37249,3724902,contradiction,no,no,0.82,0.9,0.18000000000000005,0.09999999999999998,-0.08000000000000007,0.08000000000000007,0
37249,3724903,actor_date_swap,no,no,0.82,0.98,0.18000000000000005,0.020000000000000018,-0.16000000000000003,0.16000000000000003,0
37249,3724904,criterion_swap,no,no,0.82,0.98,0.18000000000000005,0.020000000000000018,-0.16000000000000003,0.16000000000000003,0
37432,3743201,evidence_masking,no,no,0.81,0.85,0.18999999999999995,0.15000000000000002,-0.039999999999999925,0.039999999999999925,0
37432,3743202,contradiction,no,no,0.81,0.86,0.18999999999999995,0.14,-0.04999999999999993,0.04999999999999993,0
37432,3743203,actor_date_swap,no,no,0.81,0.85,0.18999999999999995,0.15000000000000002,-0.039999999999999925,0.039999999999999925,0
37432,3743204,criterion_swap,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
37466,3746601,evidence_masking,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
37466,3746602,contradiction,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
37466,3746603,actor_date_swap,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
37466,3746604,criterion_swap,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
37502,3750201,evidence_masking,yes,yes,0.85,0.68,0.85,0.68,-0.16999999999999993,0.16999999999999993,0
37502,3750202,contradiction,yes,yes,0.85,0.71,0.85,0.71,-0.14,0.14,0
37502,3750203,actor_date_swap,yes,no,0.85,0.55,0.85,0.44999999999999996,-0.4,0.4,1
37502,3750204,criterion_swap,yes,no,0.85,0.9,0.85,0.09999999999999998,-0.75,0.75,1
37505,3750501,evidence_masking,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
37505,3750502,contradiction,no,no,0.78,0.95,0.21999999999999997,0.050000000000000044,-0.16999999999999993,0.16999999999999993,0
37505,3750503,actor_date_swap,no,no,0.78,0.75,0.21999999999999997,0.25,0.030000000000000027,0.030000000000000027,0
37505,3750504,criterion_swap,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
37509,3750901,evidence_masking,yes,no,0.65,0.55,0.65,0.44999999999999996,-0.20000000000000007,0.20000000000000007,1
37509,3750902,contradiction,yes,yes,0.65,0.55,0.65,0.55,-0.09999999999999998,0.09999999999999998,0
37509,3750903,actor_date_swap,yes,no,0.65,0.98,0.65,0.020000000000000018,-0.63,0.63,1
37509,3750904,criterion_swap,yes,no,0.65,0.85,0.65,0.15000000000000002,-0.5,0.5,1
37635,3763501,evidence_masking,no,no,0.63,0.78,0.37,0.21999999999999997,-0.15000000000000002,0.15000000000000002,0
37635,3763502,contradiction,no,no,0.63,0.9,0.37,0.09999999999999998,-0.27,0.27,0
37635,3763503,actor_date_swap,no,no,0.63,0.65,0.37,0.35,-0.020000000000000018,0.020000000000000018,0
37635,3763504,criterion_swap,no,yes,0.63,0.85,0.37,0.85,0.48,0.48,1
37640,3764001,evidence_masking,yes,yes,0.62,0.6,0.62,0.6,-0.020000000000000018,0.020000000000000018,0
37640,3764002,contradiction,yes,yes,0.62,0.8,0.62,0.8,0.18000000000000005,0.18000000000000005,0
37640,3764003,actor_date_swap,yes,no,0.62,0.65,0.62,0.35,-0.27,0.27,1
37640,3764004,criterion_swap,yes,no,0.62,0.71,0.62,0.29000000000000004,-0.32999999999999996,0.32999999999999996,1
37649,3764901,evidence_masking,yes,yes,0.78,0.78,0.78,0.78,0.0,0.0,0
37649,3764902,contradiction,yes,yes,0.78,0.78,0.78,0.78,0.0,0.0,0
37649,3764903,actor_date_swap,yes,yes,0.78,0.85,0.78,0.85,0.06999999999999995,0.06999999999999995,0
37649,3764904,criterion_swap,yes,yes,0.78,0.55,0.78,0.55,-0.22999999999999998,0.22999999999999998,0
37813,3781301,evidence_masking,no,no,0.78,0.15,0.21999999999999997,0.85,0.63,0.63,0
37813,3781302,contradiction,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
37813,3781303,actor_date_swap,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
37813,3781304,criterion_swap,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
37873,3787301,evidence_masking,yes,yes,0.92,0.9,0.92,0.9,-0.020000000000000018,0.020000000000000018,0
37873,3787302,contradiction,yes,yes,0.92,0.85,0.92,0.85,-0.07000000000000006,0.07000000000000006,0
37873,3787303,actor_date_swap,yes,no,0.92,0.78,0.92,0.21999999999999997,-0.7000000000000001,0.7000000000000001,1
37873,3787304,criterion_swap,yes,yes,0.92,0.85,0.92,0.85,-0.07000000000000006,0.07000000000000006,0
37874,3787401,evidence_masking,no,no,0.81,0.9,0.18999999999999995,0.09999999999999998,-0.08999999999999997,0.08999999999999997,0
37874,3787402,contradiction,no,no,0.81,0.85,0.18999999999999995,0.15000000000000002,-0.039999999999999925,0.039999999999999925,0
37874,3787403,actor_date_swap,no,no,0.81,0.86,0.18999999999999995,0.14,-0.04999999999999993,0.04999999999999993,0
37874,3787404,criterion_swap,no,no,0.81,0.85,0.18999999999999995,0.15000000000000002,-0.039999999999999925,0.039999999999999925,0
38056,3805601,evidence_masking,no,no,0.86,0.96,0.14,0.040000000000000036,-0.09999999999999998,0.09999999999999998,0
38056,3805602,contradiction,no,no,0.86,0.98,0.14,0.020000000000000018,-0.12,0.12,0
38056,3805603,actor_date_swap,no,no,0.86,0.97,0.14,0.030000000000000027,-0.10999999999999999,0.10999999999999999,0
38056,3805604,criterion_swap,no,no,0.86,0.99,0.14,0.010000000000000009,-0.13,0.13,0
38066,3806601,evidence_masking,no,no,0.62,0.8,0.38,0.19999999999999996,-0.18000000000000005,0.18000000000000005,0
38066,3806602,contradiction,no,no,0.62,0.75,0.38,0.25,-0.13,0.13,0
38066,3806603,actor_date_swap,no,no,0.62,0.2,0.38,0.8,0.42000000000000004,0.42000000000000004,0
38066,3806604,criterion_swap,no,no,0.62,0.9,0.38,0.09999999999999998,-0.28,0.28,0
38080,3808001,evidence_masking,yes,yes,0.77,0.85,0.77,0.85,0.07999999999999996,0.07999999999999996,0
38080,3808002,contradiction,yes,yes,0.77,0.85,0.77,0.85,0.07999999999999996,0.07999999999999996,0
38080,3808003,actor_date_swap,yes,no,0.77,0.6,0.77,0.4,-0.37,0.37,1
38080,3808004,criterion_swap,yes,no,0.77,0.86,0.77,0.14,-0.63,0.63,1
38112,3811201,evidence_masking,no,no,0.71,0.85,0.29000000000000004,0.15000000000000002,-0.14,0.14,0
38112,3811202,contradiction,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
38112,3811203,actor_date_swap,no,no,0.71,0.15,0.29000000000000004,0.85,0.5599999999999999,0.5599999999999999,0
38112,3811204,criterion_swap,no,no,0.71,0.2,0.29000000000000004,0.8,0.51,0.51,0
38311,3831101,evidence_masking,yes,yes,0.9,0.95,0.9,0.95,0.04999999999999993,0.04999999999999993,0
38311,3831102,contradiction,yes,yes,0.9,0.95,0.9,0.95,0.04999999999999993,0.04999999999999993,0
38311,3831103,actor_date_swap,yes,no,0.9,0.71,0.9,0.29000000000000004,-0.61,0.61,1
38311,3831104,criterion_swap,yes,no,0.9,0.82,0.9,0.18000000000000005,-0.72,0.72,1
38325,3832501,evidence_masking,no,no,0.96,0.99,0.040000000000000036,0.010000000000000009,-0.030000000000000027,0.030000000000000027,0
38325,3832502,contradiction,no,no,0.96,0.97,0.040000000000000036,0.030000000000000027,-0.010000000000000009,0.010000000000000009,0
38325,3832503,actor_date_swap,no,no,0.96,0.6,0.040000000000000036,0.4,0.36,0.36,0
38325,3832504,criterion_swap,no,no,0.96,0.96,0.040000000000000036,0.040000000000000036,0.0,0.0,0
38332,3833201,evidence_masking,no,no,0.71,0.8,0.29000000000000004,0.19999999999999996,-0.09000000000000008,0.09000000000000008,0
38332,3833202,contradiction,no,no,0.71,0.85,0.29000000000000004,0.15000000000000002,-0.14,0.14,0
38332,3833203,actor_date_swap,no,no,0.71,0.85,0.29000000000000004,0.15000000000000002,-0.14,0.14,0
38332,3833204,criterion_swap,no,no,0.71,0.86,0.29000000000000004,0.14,-0.15000000000000002,0.15000000000000002,0
38877,3887701,evidence_masking,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
38877,3887702,contradiction,no,no,0.66,0.86,0.33999999999999997,0.14,-0.19999999999999996,0.19999999999999996,0
38877,3887703,actor_date_swap,no,no,0.66,0.65,0.33999999999999997,0.35,0.010000000000000009,0.010000000000000009,0
38877,3887704,criterion_swap,no,no,0.66,0.88,0.33999999999999997,0.12,-0.21999999999999997,0.21999999999999997,0
38884,3888401,evidence_masking,no,no,0.66,0.85,0.33999999999999997,0.15000000000000002,-0.18999999999999995,0.18999999999999995,0
38884,3888402,contradiction,no,no,0.66,0.8,0.33999999999999997,0.19999999999999996,-0.14,0.14,0
38884,3888403,actor_date_swap,no,no,0.66,0.65,0.33999999999999997,0.35,0.010000000000000009,0.010000000000000009,0
38884,3888404,criterion_swap,no,no,0.66,0.86,0.33999999999999997,0.14,-0.19999999999999996,0.19999999999999996,0
38916,3891601,evidence_masking,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
38916,3891602,contradiction,no,no,0.71,0.85,0.29000000000000004,0.15000000000000002,-0.14,0.14,0
38916,3891603,actor_date_swap,no,yes,0.71,0.25,0.29000000000000004,0.25,-0.040000000000000036,0.040000000000000036,1
38916,3891604,criterion_swap,no,no,0.71,0.9,0.29000000000000004,0.09999999999999998,-0.19000000000000006,0.19000000000000006,0
38963,3896301,evidence_masking,no,no,0.2,0.8,0.8,0.19999999999999996,-0.6000000000000001,0.6000000000000001,0
38963,3896302,contradiction,no,no,0.2,0.85,0.8,0.15000000000000002,-0.65,0.65,0
